,Composition,ElemSortAMU,GBTPredict,AWEMLPredict,lnPeqo,dH,dS
306,Al1 Zr1 Ti1 V1 Nb1,AlTiVZrNb,SS,SS,-9.376316571541262,48.723399160112066,85.22523955520312
307,Al1 Zr1 Ti1 V1 Hf1,AlTiVZrHf,SS,SS,-11.330127085624257,53.24165494181136,85.59914278067626
308,Al1 Zr1 Ti1 Pd1 Nb1,AlTiZrNbPd,SS,SS,-6.384904463644945,40.88020438495163,92.59284290833796
309,Al1 Zr1 Ti1 Pd1 Hf1,AlTiZrPdHf,SS,SS,-8.726577726449095,47.9377670440318,95.62056344845385
310,Al1 Zr1 Ti1 Nb1 Hf1,AlTiZrNbHf,SS,SS,-11.564430870907806,52.473234061362994,87.49090370182589
311,Al1 Zr1 Mo1 V1 Pd1,AlVZrMoPd,SS,SS,-2.15650737617266,33.8309015246268,82.38953024574417
312,Al1 Zr1 Mo1 V1 Nb1,AlVZrNbMo,SS,SS,-4.449251767722031,39.14190541245769,84.3578237081642
313,Al1 Zr1 Mo1 V1 Hf1,AlVZrMoHf,SS,SS,-6.478537074213814,43.588094173597014,85.75082707057194
314,Al1 Zr1 Mo1 Pd1 Nb1,AlZrNbMoPd,SS,SS,-2.555760281691356,34.092968953923446,85.42635295383624
315,Al1 Zr1 Mo1 Pd1 Hf1,AlZrMoPdHf,SS,SS,-3.631027012279574,35.844382929939385,96.24816682132031
316,Al1 Zr1 Mo1 Nb1 Hf1,AlZrNbMoHf,SS,SS,-6.163421609497467,43.51003807663397,88.06593731482467
317,Al1 Zr1 V1 Pd1 Nb1,AlVZrNbPd,SS,SS,-5.210959145718926,41.243848334248206,90.92582728696428
318,Al1 Zr1 V1 Pd1 Hf1,AlVZrPdHf,SS,SS,-7.611019922634451,46.255190213087545,96.60669136101569
319,Al1 Zr1 V1 Nb1 Hf1,AlVZrNbHf,SS,SS,-9.966464700954129,52.44087067533064,85.72266113615225
320,Al1 Zr1 Pd1 Nb1 Hf1,AlZrNbPdHf,SS,SS,-7.8595243269013455,45.92104459698419,98.36217250283077
321,Al1 Ti1 Mo1 V1 Pd1,AlTiVMoPd,SS,SS,-2.6188283993609263,34.37208322302053,78.22532581494754
322,Al1 Ti1 Mo1 V1 Nb1,AlTiVNbMo,SS,SS,-3.659261978682932,37.97897088970082,79.70974822003367
323,Al1 Ti1 Mo1 V1 Hf1,AlTiVMoHf,SS,SS,-5.074495067753832,42.44232321597784,85.11490579215146
324,Al1 Ti1 Mo1 Pd1 Nb1,AlTiNbMoPd,SS,SS,-2.9138515915098404,34.706261283414776,82.26034562694072
